cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
coda_point_long	1.00172794539583	1.00515625009544	1.00793644738643	0.999958087929975	1.00501966110668	1.00712068831289	1.02474454793687	1.02337743597677	1.00276631721004	1.00012589417038	1.01044156070346	1.00594376180458	1.0000887562412	1.00164998575742	1.00042663991713	1.00024321748667	1.00231613164093	1.00397049714641	1.00005057501015	1.00161870505962	1.00679087401678	1.0000975518686	1.00014024145463	1.00013746773877	1.00029884989642	1.00070134522822	1.0003577625875	1.00121324972813	1.00064614424431	1.0000243067124	1.00003523099761	1.00002923014265	1.00016127354817	1.00331544153023	1.01697121909941	1.01795864480469	1.04219310078276	1.04977947144826	1.1805948555684	1.0307071746395	1.02537020199006	1.02243415250193	1.03227710567212	1.17856240573313
coda_upper_long	1.00489541488956	1.01435218766837	1.02196227168769	0.999966479752957	1.01395024237334	1.01957680139915	1.06704341464015	1.06297618425366	1.00773273685467	1.00043500161278	1.02871088648797	1.01649852290918	1.00030956149202	1.0046721626864	1.00116282048945	1.00051539199956	1.00651577983982	1.01103710204749	1.00018555322854	1.00451400311243	1.01823777148781	1.00033970472994	1.00045486505247	1.0003568203391	1.00088413621776	1.0020432936004	1.00106348873016	1.00342773457713	1.00179173523324	1.0001585966645	1.00018594510886	1.00009308956528	1.00055399767924	1.00923438218525	1.04617196265777	1.04882454805093	1.10998151050716	1.12799294250016	1.42703153201867	1.08130176991669	1.06818876794467	1.04194098845191	1.05924069396941	1.42835554086047
coda_point_short	0.999823445973388	1.01738376941841	1.00406383127147	1.00034976940053	1.01399162637379	1.00207104846534	1.01929154805592	1.01889704558761	1.00696161385532	1.00066448676409	1.00696686460875	1.01606809468648	1.00040278388936	1.01100441464495	1.00997285680399	1.0008218059255	1.00812333431776	1.00609216649431	1.0005694754819	1.008594525077	1.01412783600222	1.0011335090144	1.00066383144788	1.00020346782094	1.00064934350536	1.00094466222055	1.00447474791076	1.00089668501033	1.00128388964519	1.00422771085188	1.00412807414908	1.00482353045312	1.00316641218187	1.01210714389097	1.0324510663875	1.03219348613354	1.08594028975823	1.07117435043017	1.31156786742138	1.02572857487213	1.07531670705553	1.00531789700117	1.04912344575316	1.38740412497585
coda_upper_short	0.999902051515942	1.04755427693469	1.0113355777016	1.0012943259334	1.03866818976235	1.00589706080154	1.05253526418025	1.05151545105267	1.01912198981567	1.00157612019749	1.01953147452853	1.04416010508184	1.001440928002	1.03056312092765	1.02786311236277	1.00197446741898	1.02265112465299	1.01694483788099	1.00182460445953	1.02379496400121	1.03677960244013	1.00331851454297	1.00196854946365	1.00097538946045	1.00204708085466	1.00297170047006	1.01262720355784	1.00287626268168	1.00396828076926	1.01208745701447	1.01158977114939	1.01368944441043	1.00914279057412	1.03332886441042	1.08624193812876	1.08522014424302	1.21599653486247	1.18314879180163	1.69869269778861	1.06917779881114	1.19719822539682	1.00983362663103	1.08296857867966	1.85362970817808
coda_point_trunc	1.00087490178742	1.00975717542821	1.00501675927244	1.00005642123053	1.00845570859769	1.0040596047264	1.01780965664028	1.01666730446287	1.00436528479021	1.0002261600515	1.00652274666869	1.01006748701192	1.00022296285832	1.00520212241001	1.00419177851924	1.00025695322914	1.00522074603086	1.00491907588417	1.0004096692067	1.00429207000807	1.00771819799125	1.00054011716016	1.00072381764434	1.00007053867446	1.00077703765284	1.00089989138181	1.00193195263884	1.00097047732995	1.00081456771103	1.00172736182506	1.0017543540557	1.00215444773494	1.00137359604441	1.00685627017962	1.02150100841264	1.0205248180228	1.06031080126397	1.06097305688965	1.18947924528934	1.02640346380942	1.04241313224796	1.01169011172671	1.03925376011425	1.21653456476103
coda_upper_trunc	1.00203747594945	1.02072962985671	1.01077542036603	1.00033984262598	1.0180315162002	1.00865847571728	1.03745542680394	1.03507417794088	1.0093602255719	1.00062735906153	1.01396697027285	1.02137871510584	1.00065271291747	1.01118526848273	1.00909233192003	1.00065809377073	1.01122359390546	1.01055713119718	1.00106243833873	1.00926339448576	1.01604733989519	1.00135539189615	1.00174107595731	1.00037056051365	1.00186697684891	1.00213862292485	1.0042971457713	1.00228427357636	1.00197495879816	1.00389639942006	1.00393162619897	1.00478670625058	1.00314146204052	1.01462806626909	1.04485540728847	1.04282722179958	1.1220104956191	1.12320848979871	1.36301612851133	1.05469049490248	1.08805560114943	1.02095139030338	1.06398820328123	1.41346466545359
rstan_long	1.00139180663546	1.00382579644621	1.00600612626834	1.00004827981702	1.00380136450165	1.00522533490886	1.01839784709733	1.01687189352054	1.00197238515012	1.00001856082995	1.00764964936585	1.00441386679379	0.999974965219757	1.00118105535308	1.00019205530882	1.0000229995496	1.0016490247665	1.00310263662867	1.00006829359572	1.00120786885337	1.00483559038133	1.00007784490391	1.0001299181154	1.00003506503801	1.00016832955951	1.00055892141732	1.0002219374802	1.00088193907193	1.00038722238384	0.999965284173893	0.999957749005021	0.99998598553467	1.00009364378504	1.00239330370324	1.01235498129506	1.01307902022164	1.02974343929059	1.03546004709952	1.11930890318618	1.02247865584351	1.01940703383827	1.01308216435233	1.01227093568824	1.12911685685224
rstan_short	0.999871929716358	1.01232220489184	1.00260074259306	1.00003171948181	1.01021420582279	1.00123902440003	1.01404040498787	1.01344706955533	1.0047866233873	1.00003238350884	1.00511475096251	1.01179731362942	1.00028620677193	1.00814277805742	1.0082532165681	1.00052966236171	1.00581766971168	1.00414335840142	1.00027135560585	1.00646068761744	1.00863038547554	1.00068491151948	1.0002382471023	1.00029273166337	1.00092841842251	1.00074106555963	1.00341135853247	1.00054713895502	1.00085120177448	1.0029434570281	1.00309334397646	1.00365038086806	1.00225985619897	1.00882824667927	1.02314713185404	1.02222590860765	1.06459080689784	1.06020037992912	1.20381268529172	1.02289431652071	1.06471296353602	1.00700481855117	1.00747619129822	1.2584726147594
rstan_trunc	1.00057825589147	1.00825039918832	1.00409511849243	0.999958250635478	1.00723747403608	1.00342746218448	1.01535115054023	1.01431999351567	1.00358311146492	1.00002711422757	1.00564362599158	1.00866089495375	1.00016381144733	1.0043952308032	1.00406990087135	1.00047945160738	1.00439360760549	1.00422901570678	1.00021234212036	1.00371676385053	1.00605160363848	1.00032952743785	1.00060770222891	1.00004478779429	1.00111261242283	1.0007281998111	1.00182138482352	1.00081127537752	1.00063619120832	1.00144782141414	1.0015507156767	1.00185318856064	1.00119608205189	1.00579270525467	1.01818390240676	1.01730156946675	1.05443923814623	1.05733158565605	1.15468323350789	1.02618517217523	1.04271043386862	1.01528147585573	1.01261235124284	1.18535949263874
