skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
rep1	3760.83067623269	2563.56564100656	919.351654308495	676.445590066175	455.371668991997	690.324934732031	503.18615657531	1235.4920064854	982.911665430026	1658.96055847853	583.649403983213	563.127292779429	783.613226571166	1259.71312546025	743.488138684962	229.338353255065	107.568430954569	291.550447311653	1184.8497066687	2672.73040247551
rep2	4270.2574623563	2736.97515525126	1140.3430783035	992.069671782421	622.170931467895	507.893615112274	349.148393982775	933.733427902717	1642.36438827043	977.442146796202	703.048550159054	368.28174601838	793.146877303126	846.234862855907	455.049718430518	115.068945786973	83.4559936262083	317.942997667974	1262.35341089269	2437.92011109855
rep3	3511.18785238157	2223.53428439033	1329.11412956938	730.092091679862	506.380624516941	605.00192441402	708.454090590958	1023.11890772376	1334.79578574734	1466.37390063683	829.166446219191	779.818580902675	758.922565859892	1044.57745725657	843.734773709898	183.947048198389	56.7303014797505	238.45101622326	1008.67456979162	2771.81906632798
rep4	4294.48104608698	2400.39377899991	1275.93897890939	1022.0129673056	296.403467234705	635.385983724084	372.263049263052	884.035224462269	992.620001799978	1270.93412278464	269.65328424941	639.439150319356	646.797877360577	1295.94950379844	735.603829161579	287.956490460543	49.953435037867	241.726025766122	802.079444667554	2414.79720407064
rep5	3796.05492769667	2473.42560262132	1486.63254656548	635.356502158385	449.054647438067	503.002005684371	597.010353768707	828.025344042702	1298.01328716446	668.854201996311	627.710416478591	823.976918882471	626.418784882623	1012.78080262814	587.234086235617	275.0712402828	106.832099576886	190.7360068157	1006.64084630492	1886.20087582715
rep6	828.254514475929	630.741442247114	421.792123986737	266.309432368709	146.717438199322	124.200259229036	211.003866435162	325.004644083439	294.973625434276	370.67599403816	98.7021090541431	146.517502653957	218.329749418714	344.294764813982	86.8007316211674	46.4967487320483	61.8310783875941	63.59918455397	233.272445718242	421.817952541373
rep7	1066.22445115293	672.615544845829	307.396415097629	167.041575184278	102.854054679194	183.137062130819	196.751231156032	266.955444601651	398.952538662161	377.186808309655	102.308394176469	80.39857396933	130.476435196994	433.250213751003	195.162415641161	85.8890028012892	36.6769591641958	39.0481029320746	140.953645758621	867.896297060805
rep8	1172.28308807504	534.154896722234	435.248245311438	257.65728767589	138.325388922422	95.8792709053315	159.2093429335	312.100633572877	354.830080148714	388.323960107187	136.244316228516	237.237031247382	201.794228985016	233.485486436185	155.004931949915	79.7987964163857	33.4470395333034	37.781290219803	145.216345855831	371.891857486137
rep9	797.238761124526	678.089275497098	365.320253513971	210.471297477499	172.880527594691	141.406787283162	167.994588974619	255.582463518345	383.186893989839	385.836788691503	142.579251469389	147.110439460075	155.252063264894	289.263659306738	164.167529809359	78.0903830584008	38.1252755424203	71.6276952325205	394.387473504906	851.783736413956
rep10	999.133364455448	589.245614678319	420.004762232552	162.776385513641	63.3727156713939	201.622968541223	136.514547449128	329.893329617386	303.799600005745	298.490841116386	285.006822647521	227.258421609467	299.269874427808	339.73723481638	168.755129852221	66.6333680315311	21.8741802610453	70.506845807436	238.146279402187	831.260631053015
rep1trunc	931.191452491075	705.170629010463	234.737508030549	174.097371223625	132.873238857122	179.377878972315	140.537382456566	323.232486154461	228.115963654553	457.743241290008	213.308337976086	192.212805897252	109.151366445392	263.311941975393	210.703571500828	30.7315260516203	35.9878937197273	87.8650567596806	340.832803229709	841.796574490292
rep2trunc	1123.45815818605	843.88993362067	183.267065234262	227.959819555577	150.360393804477	201.260074410285	109.496011141236	286.651070984318	395.740495286312	187.643606931309	176.406181318316	103.256177569227	152.425477253246	337.863826788892	203.379293567442	49.3054309527552	9.57500802097094	98.8332155250323	446.291647229799	668.29474102978
rep3trunc	835.565167552952	559.522611627544	354.645318290053	192.447343217423	143.53374930792	195.854562351859	160.837077532605	199.243932022591	317.328677336364	333.353932763436	183.333792720498	121.238478885639	293.465790932758	355.594758034054	164.084744891476	76.5955658321345	21.2492196419406	69.613607417654	282.847745917539	994.35046622716
rep4trunc	1060.27469534745	479.572991351929	347.939949596523	251.530368288127	130.497061559961	155.013870594804	170.643661571705	192.801973894743	385.655405344604	324.567556996492	194.312192745024	192.544678564896	183.743006738145	345.795819425012	202.441777597583	103.823212853802	7.3851430627138	44.8497053108086	255.847676873517	613.76582047315
rep5trunc	1009.18748643908	598.53987358184	385.064578306368	179.122277184206	95.098535537022	150.402808108277	158.630397529208	193.023956578187	238.704345557264	187.347472496671	184.869427163136	248.903217959227	222.548553264217	236.82063567318	195.2786578381	76.9903329298533	32.7320416019314	73.5625787414183	289.319064589095	573.968850041906
