cp1.kappa	cp2.kappa	cp3.kappa	cp1.alpha	cp2.alpha	cp3.alpha	cp1.mu	cp2.mu	cp3.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
rep1	6991.5525686815	7810.94478376104	8000	8000	8000	7490.31102782486	7736.21109531376	7522.50313776953	7973.2910673429	8000	8000	8000	8000	8000	7908.36119321043	7726.57967091141	7780.695326751	7840.42832474977	8000	8000	8000	322.548346506146	638.544949135427	291.167919288722	1456.84538715838	7993.48615255862	5528.03610850466	2529.87282861937	220.599834834398
rep2	7911.01165582279	6880.88164324466	7894.5108870405	8000	7481.8757508517	7299.52353318572	8000	8000	8000	7648.91752978509	7699.59405559051	8000	8000	7581.47266755038	6889.3227297754	7971.42517621933	7323.41866943905	7337.30824126064	8000	8000	7607.2137195985	247.342636443363	417.533281019018	228.841493953616	856.259651361459	6994.37144645326	4289.36762885576	2895.07528117719	184.103140283669
rep3	8000	7287.18219548238	8000	7978.0560363114	8000	7227.03467972956	7447.28424903819	7956.20024704599	7598.50188822654	8000	7469.58754858465	7637.93609277024	7723.06011348259	7895.2723293825	8000	8000	8000	7883.58991855475	6921.12937158437	8000	7284.23439178663	187.984407653991	431.280393165219	175.415453597863	1042.21696205193	8000	4884.2904138546	1818.53678734557	136.410629777063
rep4	7695.97471434704	7380.61533795615	7189.52138651792	7381.23057841134	8000	7657.51339108725	8000	8000	8000	7796.40862393175	7948.08998291784	8000	8000	7733.10041870952	7891.5196911367	8000	8000	7760.46666632573	7921.44335017142	8000	7680.46265109764	214.169049800037	414.421570628174	193.597382643005	911.436725689759	7703.80742191192	3532.35079163188	2532.70700217907	151.081594616784
rep5	7665.0756561978	8000	7925.88043962895	8000	7984.70679876982	8000	8000	8000	8000	8000	7187.77545928869	8000	7414.17479646243	7105.70063216015	7797.66635718656	8000	8000	8000	7767.83993700353	8000	8000	213.670966070908	420.721846662361	197.691586609201	1099.51817479206	7662.09084231545	4245.20962290345	2517.29196932262	157.532020041756
rep6	2000	2000	2000	1954.87569023534	2000	1898.34199099601	1951.20452545633	1594.17037094617	2000	2000	2000	2000	2000	1954.57794336608	1938.2971126992	1805.94860865553	1938.78746563204	2000	1975.0066017033	2000	1938.44467548746	48.257617589462	80.8699143691715	46.5592094997765	173.13818956662	1978.21087283224	1107.06162636817	387.085826698478	36.230038882174
rep7	1490.93292963593	2000	2000	2000	2000	2000	1867.13942050433	1441.40745160629	1933.87258491642	2000	2000	2000	1841.4541104827	2000	2000	1985.62295521438	1897.92573880591	2000	2000	2000	2000	43.0339557115869	86.0837422659154	41.2085075944512	210.501322099099	1921.06523752598	1339.99441315921	304.298236653267	33.0659650820887
rep8	1909.16979752057	1849.51497463562	1704.37965559277	2000	2000	1795.99196400639	2000	2000	2000	2000	1898.99159664385	2000	1923.31373638405	2000	1867.87376468786	1745.2997182617	2000	2000	2000	1929.38789402988	1881.72829374609	52.380152576994	92.9596921574892	47.1996433262685	216.297856846316	2000	1291.1480681223	722.619299288742	37.3281704324127
rep9	1902.85694326254	1931.86017326366	2000	2000	2000	2000	2000	2000	1364.27433043882	2000	2000	1684.51805283393	1725.22697727585	1804.12764452214	2000	1996.22175110045	2000	1931.70873527645	1878.84764169336	1922.63325010129	2000	32.1837850261308	75.3831458975683	28.0899231147974	255.349197766609	2000	1092.15854062146	642.343363664902	22.1550410391234
rep10	2000	1885.40288858614	1790.86786616837	2000	2000	1885.81126149391	1890.74341458746	2000	1602.73696935232	1708.3179623614	1981.97448865978	1966.64317521695	2000	1984.18078345503	2000	2000	2000	1783.38724265491	1995.03463704917	1884.5512545461	1923.63037035091	75.6466635172595	128.937267096574	71.0139308890096	249.246418922742	1777.71752934514	1284.02360260904	603.795685717773	52.8563936937551
rep1trunc	2000	1850.04583658414	2000	2000	1733.80017884983	2000	1875.22933787849	1741.93815705436	1901.97321287631	1880.47236233531	1839.39404939013	2000	2000	2000	2000	1869.9622622174	1760.25619042534	2000	2000	2000	2000	56.0439541220913	164.90062442172	49.9145691391939	432.196617877001	2000	1241.92931236837	363.050445152912	39.632745884631
rep2trunc	1874.76996076551	1780.85264880526	2000	2000	2000	2000	2000	2000	2000	2000	1658.269790865	1860.87392054442	1821.88619881598	1800.52667464027	1955.61151747404	2000	2000	1790.9029471649	1970.80304427623	2000	1806.00619792375	63.7093786093063	82.0436666219025	60.8993327077708	140.153242475036	1704.65612310833	895.555055706248	671.855027461375	47.2910400740395
rep3trunc	2000	1754.9802563853	2000	1877.80463813398	2000	2000	1883.19851483812	1961.45730152227	2000	1879.51995243964	1935.8702254782	1977.23559128806	1909.5573999464	2000	2000	2000	2000	1908.02929798913	1793.95671758333	2000	1715.61647582168	64.9106164149804	110.538561918861	61.6134719168468	230.240493110848	2000	898.669689465376	872.649791719011	45.241984371917
rep4trunc	2000	1755.88085251485	1622.99388787182	1912.79171713615	2000	1458.21489064993	2000	2000	1998.62709968139	1895.12658335122	2000	2000	1910.86890728333	1831.42189420603	2000	1680.86739251989	1996.75567696356	1963.85041877742	2000	2000	1858.42090878969	52.8361535270136	103.372890919391	46.5236158102966	311.609356335113	1870.81547469532	1225.3882670873	573.26556667245	36.8907782540368
rep5trunc	2000	1893.33289410727	1993.2668030977	2000	1985.2760139905	2000	2000	2000	2000	2000	2000	1781.13507869247	1780.4273409146	1955.60067982363	2000	2000	2000	2000	1738.62928833994	2000	2000	53.6872155198535	88.2596706462382	51.1421015311463	211.675972850203	2000	1278.24278615598	563.838586307521	40.0690040037925
